Province	Electoral District Name/Nom de circonscription	Electoral District Number/Numéro de circonscription	Candidate/Candidat	Candidate Residence/Résidence du candidat	Candidate Occupation/Profession du candidat	Votes Obtained/Votes obtenus	Percentage of Votes Obtained /Pourcentage des votes obtenus	Majority/Majorité	Majority Percentage/Pourcentage de majorité
Newfoundland and Labrador/Terre-Neuve-et-Labrador	Avalon	10001	Paul Connors Liberal/Libéral	Conception Bay South, N.L./ T.-N.-L.	Executive Assistant/Adjoint de direction	27563	58.6	10610	22.6
Newfoundland and Labrador/Terre-Neuve-et-Labrador	Avalon	10001	Steve Kent Conservative/Conservateur	Mount Pearl, N.L./ T.-N.-L.	Consultant/Consultant	16953	36		
Newfoundland and Labrador/Terre-Neuve-et-Labrador	Avalon	10001	Judy Vanta NDP-New Democratic Party/NPD-Nouveau Parti démocratique	St. John's, N.L./ T.-N.-L.	Retired/À la retraite	2284	4.9		
Newfoundland and Labrador/Terre-Neuve-et-Labrador	Avalon	10001	Alexander Tilley Parti Rhinocéros Party/Parti Rhinocéros Party	Holyrood, N.L./ T.-N.-L.	Seafood Worker/Ouvrier des fruits de mer	230	0.5		
Newfoundland and Labrador/Terre-Neuve-et-Labrador	Cape Spear	10002	Tom Osborne Liberal/Libéral	St. John's, N.L./ T.-N.-L.	General Manager/Directeur général	31388	68.3	19544	42.5
Newfoundland and Labrador/Terre-Neuve-et-Labrador	Cape Spear	10002	Corey Curtis Conservative/Conservateur	Paradise, N.L./ T.-N.-L.	Vice President, Marine Fleet/Vice-président, flotte marine	11844	25.8		
Newfoundland and Labrador/Terre-Neuve-et-Labrador	Cape Spear	10002	Brenda Walsh NDP-New Democratic Party/NPD-Nouveau Parti démocratique	St. John's, N.L./ T.-N.-L.	Retired/À la retraite	2446	5.3		
Newfoundland and Labrador/Terre-Neuve-et-Labrador	Cape Spear	10002	Mike Peach Animal Protection Party/Parti Protection Animaux	Mount Pearl, N.L./ T.-N.-L.	Academic Tutor / Content Developer/Tuteur académique et développeur de contenu	170	0.4		
Newfoundland and Labrador/Terre-Neuve-et-Labrador	Cape Spear	10002	Kaelem Tingate Green Party/Parti Vert	St. John's, N.L./ T.-N.-L.	Distiller/Distillateur	140	0.3		
Newfoundland and Labrador/Terre-Neuve-et-Labrador	Central Newfoundland	10003	Clifford Small ** Conservative/Conservateur	St. John's, N.L./ T.-N.-L.	Restauranteur/Restaurateur	21975	54.1	4279	10.5
Newfoundland and Labrador/Terre-Neuve-et-Labrador	Central Newfoundland	10003	Lynette Powell Liberal/Libéral	Grand Falls-Windsor, N.L./ T.-N.-L.	Family Physician/Médecin de famille	17696	43.5		
Newfoundland and Labrador/Terre-Neuve-et-Labrador	Central Newfoundland	10003	Darian Vincent NDP-New Democratic Party/NPD-Nouveau Parti démocratique	Bay Roberts, N.L./ T.-N.-L.	Retail Worker/Employé en commerce de détail	965	2.4		
Newfoundland and Labrador/Terre-Neuve-et-Labrador	Labrador	10004	Philip Earle Liberal/Libéral	Happy Valley-Goose Bay, N.L./ T.-N.-L.	Executive Management/Cadre de direction	5811	51.5	1102	9.8
Newfoundland and Labrador/Terre-Neuve-et-Labrador	Labrador	10004	Ella Wallace Conservative/Conservateur	Happy Valley-Goose Bay, N.L./ T.-N.-L.	Operations Manager/Gestionnaire des opérations	4709	41.7		
Newfoundland and Labrador/Terre-Neuve-et-Labrador	Labrador	10004	Marius Normore NDP-New Democratic Party/NPD-Nouveau Parti démocratique	St. John's, N.L./ T.-N.-L.	Health and Safety Advisor/Conseiller en santé et sécurité	764	6.8		
Newfoundland and Labrador/Terre-Neuve-et-Labrador	Long Range Mountains	10005	Carol Anstey Conservative/Conservateur	Deer Lake, N.L./ T.-N.-L.	Real Estate Broker / Owner/Courtière immobilière / Propriétaire	23232	50.3	3506	7.6
Newfoundland and Labrador/Terre-Neuve-et-Labrador	Long Range Mountains	10005	Don Bradshaw Liberal/Libéral	Corner Brook, N.L./ T.-N.-L.	Retired/À la retraite	19726	42.7		
Newfoundland and Labrador/Terre-Neuve-et-Labrador	Long Range Mountains	10005	Sarah Parsons NDP-New Democratic Party/NPD-Nouveau Parti démocratique	Corner Brook, N.L./ T.-N.-L.	Child and Youth Worker/Travailleuse auprès de la jeunesse  	2011	4.4		
Newfoundland and Labrador/Terre-Neuve-et-Labrador	Long Range Mountains	10005	Robbie Coles Independent/Indépendant(e)	Cormack, N.L./ T.-N.-L.	Offshore Oil and Gas Coordinator/Coordinateur de pétrole et gaz en mer	637	1.4		
Newfoundland and Labrador/Terre-Neuve-et-Labrador	Long Range Mountains	10005	Pamela Geiger People's Party - PPC/Parti populaire - PPC	Erin, Ont.	Author/Auteure	537	1.2		
Newfoundland and Labrador/Terre-Neuve-et-Labrador	St. John's East/St. John's-Est	10006	Joanne Thompson ** Liberal/Libéral	Logy Bay-Middle Cove-Outer Cove, N.L./ T.-N.-L.	Parliamentarian/Parlementaire	28681	62.3	16740	36.4
Newfoundland and Labrador/Terre-Neuve-et-Labrador	St. John's East/St. John's-Est	10006	David Brazil Conservative/Conservateur	St. John's, N.L./ T.-N.-L.	Managing Partner - Small Business/Directeur associé d'une petite entreprise	11941	25.9		
Newfoundland and Labrador/Terre-Neuve-et-Labrador	St. John's East/St. John's-Est	10006	Mary Shortall NDP-New Democratic Party/NPD-Nouveau Parti démocratique	St. John's, N.L./ T.-N.-L.	Retired/À la retraite	5172	11.2		
Newfoundland and Labrador/Terre-Neuve-et-Labrador	St. John's East/St. John's-Est	10006	Otis Crandell Green Party/Parti Vert	Kitchener, Ont.	Academic Researcher/Chercheur universitaire	159	0.3		
Newfoundland and Labrador/Terre-Neuve-et-Labrador	St. John's East/St. John's-Est	10006	Samuel Crête Communist/Communiste	St. John's, N.L./ T.-N.-L.	Residential Counsellor/Conseiller résidentiel	98	0.2		
Newfoundland and Labrador/Terre-Neuve-et-Labrador	Terra Nova--The Peninsulas/Terra Nova--Les Péninsules	10007	Jonathan Rowe Conservative/Conservateur	Clarenville, N.L./ T.-N.-L.	Engineer/Ingénieur	19605	48	12	0
Newfoundland and Labrador/Terre-Neuve-et-Labrador	Terra Nova--The Peninsulas/Terra Nova--Les Péninsules	10007	Anthony Germain Liberal/Libéral	St. John's, N.L./ T.-N.-L.	Teacher/Enseignant	19593	47.9		
Newfoundland and Labrador/Terre-Neuve-et-Labrador	Terra Nova--The Peninsulas/Terra Nova--Les Péninsules	10007	Liam Ryan NDP-New Democratic Party/NPD-Nouveau Parti démocratique	Dunville, N.L./ T.-N.-L.	Student/Étudiant	1677	4.1		
Prince Edward Island/Île-du-Prince-Édouard	Cardigan	11001	Kent MacDonald Liberal/Libéral	Souris, P.E.I./ Î.-P.-É.	Dairy Farmer/Exploitant de ferme laitière	14404	57	4962	19.6
Prince Edward Island/Île-du-Prince-Édouard	Cardigan	11001	James Aylward Conservative/Conservateur	Stratford, P.E.I./ Î.-P.-É.	Retired/À la retraite	9442	37.4		
Prince Edward Island/Île-du-Prince-Édouard	Cardigan	11001	Lynne Thiele NDP-New Democratic Party/NPD-Nouveau Parti démocratique	Stratford, P.E.I./ Î.-P.-É.	Retired Teacher/Enseignante à la retraite	505	2		
Prince Edward Island/Île-du-Prince-Édouard	Cardigan	11001	Wayne Phelan Independent/Indépendant(e)	Stratford, P.E.I./ Î.-P.-É.	Self-Employed Installer/Installateur indépendant	404	1.6		
Prince Edward Island/Île-du-Prince-Édouard	Cardigan	11001	Maria Rodriguez Green Party/Parti Vert	Montague, P.E.I./ Î.-P.-É.	Retired Civil Servant/Fonctionnaire  à la retraite	326	1.3		
Prince Edward Island/Île-du-Prince-Édouard	Cardigan	11001	Adam Harding People's Party - PPC/Parti populaire - PPC	Alliston, P.E.I./ Î.-P.-É.	Public Works Employee, Town of Three Rivers/Employé des travaux publics, ville de Three Rivers	180	0.7		
Prince Edward Island/Île-du-Prince-Édouard	Charlottetown	11002	Sean Casey ** Liberal/Libéral	Charlottetown, P.E.I./ Î.-P.-É.	Parliamentarian/Parlementaire	13656	64.8	7517	35.6
Prince Edward Island/Île-du-Prince-Édouard	Charlottetown	11002	Natalie Jameson Conservative/Conservateur	Charlottetown, P.E.I./ Î.-P.-É.	Legislator/Législatrice	6139	29.1		
Prince Edward Island/Île-du-Prince-Édouard	Charlottetown	11002	Joe Byrne NDP-New Democratic Party/NPD-Nouveau Parti démocratique	Charlottetown, P.E.I./ Î.-P.-É.	Community Organizer/Organisateur communautaire	906	4.3		
Prince Edward Island/Île-du-Prince-Édouard	Charlottetown	11002	Daniel Cousins Green Party/Parti Vert	Charlottetown, P.E.I./ Î.-P.-É.	Student/Étudiant	257	1.2		
Prince Edward Island/Île-du-Prince-Édouard	Charlottetown	11002	Robert Lucas People's Party - PPC/Parti populaire - PPC	Charlottetown, P.E.I./ Î.-P.-É.	Consultant/Consultant	131	0.6		
Prince Edward Island/Île-du-Prince-Édouard	Egmont	11003	Bobby Morrissey ** Liberal/Libéral	Tignish, P.E.I./ Î.-P.-É.	Parliamentarian/Parlementaire	12466	51.9	2047	8.5
Prince Edward Island/Île-du-Prince-Édouard	Egmont	11003	Logan McLellan Conservative/Conservateur	Summerside, P.E.I./ Î.-P.-É.	Financial Advisor/Conseiller financier	10419	43.4		
Prince Edward Island/Île-du-Prince-Édouard	Egmont	11003	Carol Rybinski NDP-New Democratic Party/NPD-Nouveau Parti démocratique	Tyne Valley, P.E.I./ Î.-P.-É.	Restaurant Owner/Propriétaire de restaurant	585	2.4		
Prince Edward Island/Île-du-Prince-Édouard	Egmont	11003	Ranald MacFarlane Green Party/Parti Vert	Bedeque, P.E.I./ Î.-P.-É.	Farmer/Agriculteur	538	2.2		
Prince Edward Island/Île-du-Prince-Édouard	Malpeque	11004	Heath MacDonald ** Liberal/Libéral	Cornwall, P.E.I./ Î.-P.-É.	Parliamentarian/Parlementaire	15485	57.6	5639	21
Prince Edward Island/Île-du-Prince-Édouard	Malpeque	11004	Jamie Fox Conservative/Conservateur	Albany, P.E.I./ Î.-P.-É.	Politician/Politicien	9846	36.6		
Prince Edward Island/Île-du-Prince-Édouard	Malpeque	11004	Anna Keenan Green Party/Parti Vert	Hope River, P.E.I./ Î.-P.-É.	Municipal Public Servant/Fonctionnaire municipale	1049	3.9		
Prince Edward Island/Île-du-Prince-Édouard	Malpeque	11004	Cassie Mackay NDP-New Democratic Party/NPD-Nouveau Parti démocratique	Summerside, P.E.I./ Î.-P.-É.	Unemployed/Sans emploi	371	1.4		
Prince Edward Island/Île-du-Prince-Édouard	Malpeque	11004	Hilda Baughan People's Party - PPC/Parti populaire - PPC	Summerside, P.E.I./ Î.-P.-É.	Semi-Retired / Medical Transcriptionist/Semi-retraité et transcripteur médical	132	0.5		
Nova Scotia/Nouvelle-Écosse	Acadie--Annapolis	12001	Chris d'Entremont ** Conservative/Conservateur	Tusket, N.S./ N.-É.	Parliamentarian/Parlementaire	23024	47.7	533	1.1
Nova Scotia/Nouvelle-Écosse	Acadie--Annapolis	12001	Ronnie LeBlanc Liberal/Libéral	Meteghan, N.S./ N.-É.	Provincial & Municipal Politician/Politicien provincial et municipal	22491	46.6		
Nova Scotia/Nouvelle-Écosse	Acadie--Annapolis	12001	Ingrid Deon NDP-New Democratic Party/NPD-Nouveau Parti démocratique	Middle West Pubnico, N.S./ N.-É.	Chief Executive Officer/Présidente-directrice générale 	1768	3.7		
Nova Scotia/Nouvelle-Écosse	Acadie--Annapolis	12001	Matthew Piggott Green Party/Parti Vert	Bridgetown, N.S./ N.-É.	Self-Employed/Travailleur indépendant	583	1.2		
Nova Scotia/Nouvelle-Écosse	Acadie--Annapolis	12001	James Strange People's Party - PPC/Parti populaire - PPC	Bear River, N.S./ N.-É.	Director of Finance/Directeur des finances	432	0.9		
Nova Scotia/Nouvelle-Écosse	Cape Breton--Canso--Antigonish	12002	Jaime Battiste ** Liberal/Libéral	Eskasoni, N.S./ N.-É.	Parliamentarian/Parlementaire	24908	51.6	4038	8.4
Nova Scotia/Nouvelle-Écosse	Cape Breton--Canso--Antigonish	12002	Allan MacMaster Conservative/Conservateur	Troy, N.S./ N.-É.	Provincial Parliamentarian/Parlementaire provincial	20870	43.2		
Nova Scotia/Nouvelle-Écosse	Cape Breton--Canso--Antigonish	12002	Joanna Clark NDP-New Democratic Party/NPD-Nouveau Parti démocratique	Port Hood, N.S./ N.-É.	Teacher/Enseignante	1930	4		
Nova Scotia/Nouvelle-Écosse	Cape Breton--Canso--Antigonish	12002	Ryan Smyth People's Party - PPC/Parti populaire - PPC	Antigonish, N.S./ N.-É.	Self-Employed/Travailleur indépendant	333	0.7		
Nova Scotia/Nouvelle-Écosse	Cape Breton--Canso--Antigonish	12002	Rebecca Wall Independent/Indépendant(e)	Sampson Cove, N.S./ N.-É.	Media/Médias	237	0.5		
Nova Scotia/Nouvelle-Écosse	Central Nova/Nova-Centre	12003	Sean Fraser ** Liberal/Libéral	New Glasgow, N.S./ N.-É.	Parliamentarian/Parlementaire	26078	51.9	4613	9.2
Nova Scotia/Nouvelle-Écosse	Central Nova/Nova-Centre	12003	Brycen Jenkins Conservative/Conservateur	New Glasgow, N.S./ N.-É.	 Welding Inspector / Real Estate Agent/Inspecteur en soudage et agent d'immeubles	21465	42.7		
Nova Scotia/Nouvelle-Écosse	Central Nova/Nova-Centre	12003	Jesiah MacDonald NDP-New Democratic Party/NPD-Nouveau Parti démocratique	New Glasgow, N.S./ N.-É.	Labourer/Manœuvre	1649	3.3		
Nova Scotia/Nouvelle-Écosse	Central Nova/Nova-Centre	12003	Gerald Romsa Green Party/Parti Vert	Riverton, N.S./ N.-É.	Retired/À la retraite	455	0.9		
Nova Scotia/Nouvelle-Écosse	Central Nova/Nova-Centre	12003	Charlie MacEachern People's Party - PPC/Parti populaire - PPC	Mount Uniacke, N.S./ N.-É.	Sales Manager/Directeur des ventes	331	0.7		
Nova Scotia/Nouvelle-Écosse	Central Nova/Nova-Centre	12003	Alexander MacKenzie Independent/Indépendant(e)	Trenton, N.S./ N.-É.	Cement Finishing Contractor/Entrepreneur en finition de ciment	235	0.5		
Nova Scotia/Nouvelle-Écosse	Cumberland--Colchester	12004	Alana Hirtle Liberal/Libéral	Truro, N.S./ N.-É.	Business Analyst/Analyste d'affaires	23929	48.3	1228	2.5
Nova Scotia/Nouvelle-Écosse	Cumberland--Colchester	12004	Stephen Ellis ** Conservative/Conservateur	Truro, N.S./ N.-É.	Parliamentarian/Parlementaire	22701	45.8		
Nova Scotia/Nouvelle-Écosse	Cumberland--Colchester	12004	Larry Duchesne NDP-New Democratic Party/NPD-Nouveau Parti démocratique	River Philip, N.S./ N.-É.	Political Candidate/Candidat politique	1873	3.8		
Nova Scotia/Nouvelle-Écosse	Cumberland--Colchester	12004	Kelly-Ann Callaghan Green Party/Parti Vert	Shelburne, N.S./ N.-É.	Marketing Specialist/Spécialiste en marketing	694	1.4		
Nova Scotia/Nouvelle-Écosse	Cumberland--Colchester	12004	Paul Church People's Party - PPC/Parti populaire - PPC	Springhill, N.S./ N.-É.	Business Person / Marketing Consultant/Personne d'affaires / Consultant en marketing	333	0.7		
Nova Scotia/Nouvelle-Écosse	Dartmouth--Cole Harbour	12005	Darren Fisher ** Liberal/Libéral	Dartmouth, N.S./ N.-É.	Parliamentarian/Parlementaire	40367	67.7	26810	45
Nova Scotia/Nouvelle-Écosse	Dartmouth--Cole Harbour	12005	Isabelle Obeid Conservative/Conservateur	Dartmouth, N.S./ N.-É.	School Supervisor/Superviseure de l'école	13557	22.7		
Nova Scotia/Nouvelle-Écosse	Dartmouth--Cole Harbour	12005	Keith Morrison NDP-New Democratic Party/NPD-Nouveau Parti démocratique	Eastern Passage, N.S./ N.-É.	Teacher/Enseignant	4201	7		
Nova Scotia/Nouvelle-Écosse	Dartmouth--Cole Harbour	12005	Michelle Lindsay People's Party - PPC/Parti populaire - PPC	Dartmouth, N.S./ N.-É.	Health Advisor/Conseillère en santé	750	1.3		
Nova Scotia/Nouvelle-Écosse	Dartmouth--Cole Harbour	12005	Rana Zaman Green Party/Parti Vert	Dartmouth, N.S./ N.-É.	Homemaker/Personne au foyer	628	1.1		
Nova Scotia/Nouvelle-Écosse	Dartmouth--Cole Harbour	12005	Joseph Shea Libertarian/Libertarien	Dartmouth, N.S./ N.-É.	Retired/À la retraite	131	0.2		
Nova Scotia/Nouvelle-Écosse	Halifax	12006	Shannon Miedema Liberal/Libéral	Dartmouth, N.S./ N.-É.	Environment and Climate Change/Environnement et changement climatique	32886	63	22947	44
Nova Scotia/Nouvelle-Écosse	Halifax	12006	Mark Boudreau Conservative/Conservateur	Halifax, N.S./ N.-É.	Communications Professional/Professionnel en communications 	9939	19.1		
Nova Scotia/Nouvelle-Écosse	Halifax	12006	Lisa Roberts NDP-New Democratic Party/NPD-Nouveau Parti démocratique	Halifax, N.S./ N.-É.	Parliamentarian/Parlementaire	8642	16.6		
Nova Scotia/Nouvelle-Écosse	Halifax	12006	Amethyste Hamel-Gregory Green Party/Parti Vert	Halifax, N.S./ N.-É.	Educational Assistant/Éducatrice adjointe	422	0.8		
Nova Scotia/Nouvelle-Écosse	Halifax	12006	Maricar Aliasut People's Party - PPC/Parti populaire - PPC	Halifax, N.S./ N.-É.	Property Manager/Gestionnaire immobilière	271	0.5		
Nova Scotia/Nouvelle-Écosse	Halifax West/Halifax-Ouest	12007	Lena Metlege Diab ** Liberal/Libéral	Halifax, N.S./ N.-É.	Parliamentarian/Parlementaire	36200	65.6	21180	38.4
Nova Scotia/Nouvelle-Écosse	Halifax West/Halifax-Ouest	12007	Rob Batherson Conservative/Conservateur	Halifax, N.S./ N.-É.	Small Business Owner/Propriétaire de petite entreprise	15020	27.2		
Nova Scotia/Nouvelle-Écosse	Halifax West/Halifax-Ouest	12007	Rae Tench NDP-New Democratic Party/NPD-Nouveau Parti démocratique	Head of St. Margarets Bay, N.S./ N.-É.	Certified Financial Planner/Conseiller accrédité en planification financière	3083	5.6		
Nova Scotia/Nouvelle-Écosse	Halifax West/Halifax-Ouest	12007	Ron G. Parker Green Party/Parti Vert	Halifax, N.S./ N.-É.	IT Consultant/Consultant en technologie de l'information	497	0.9		
Nova Scotia/Nouvelle-Écosse	Halifax West/Halifax-Ouest	12007	Adam LeRue People's Party - PPC/Parti populaire - PPC	Halifax, N.S./ N.-É.	Chef/Chef cuisinier	384	0.7		
Nova Scotia/Nouvelle-Écosse	Kings--Hants	12008	Kody Blois ** Liberal/Libéral	Lantz, N.S./ N.-É.	Parliamentarian/Parlementaire	35836	60.6	16063	27.1
Nova Scotia/Nouvelle-Écosse	Kings--Hants	12008	Joel Hirtle Conservative/Conservateur	Coldbrook, N.S./ N.-É.	Tire Builder/Confectionneur de pneus	19773	33.4		
Nova Scotia/Nouvelle-Écosse	Kings--Hants	12008	Paul Doerr NDP-New Democratic Party/NPD-Nouveau Parti démocratique	Wolfville, N.S./ N.-É.	University Professor/Professeur d'université	2154	3.6		
Nova Scotia/Nouvelle-Écosse	Kings--Hants	12008	Karen Beazley Green Party/Parti Vert	Windsor, N.S./ N.-É.	Retired/À la retraite	825	1.4		
Nova Scotia/Nouvelle-Écosse	Kings--Hants	12008	Alexander Cargill People's Party - PPC/Parti populaire - PPC	Ellershouse, N.S./ N.-É.	Audiovisual Technician/Technicien en audiovisuel	591	1		
Nova Scotia/Nouvelle-Écosse	Sackville--Bedford--Preston	12009	Braedon Clark Liberal/Libéral	Bedford, N.S./ N.-É.	Political Staffer/Membre du personnel politique	36062	62	17202	29.6
Nova Scotia/Nouvelle-Écosse	Sackville--Bedford--Preston	12009	Dave Carroll Conservative/Conservateur	Waverley, N.S./ N.-É.	Creative Entrepreneur/Entrepreneur créatif	18860	32.4		
Nova Scotia/Nouvelle-Écosse	Sackville--Bedford--Preston	12009	Isaac Wilson NDP-New Democratic Party/NPD-Nouveau Parti démocratique	Halifax, N.S./ N.-É.	Pharmacist/Pharmacien	2324	4		
Nova Scotia/Nouvelle-Écosse	Sackville--Bedford--Preston	12009	Andre Anderson Green Party/Parti Vert	Lower Sackville, N.S./ N.-É.	Filmmaker / Manager, Youth & Engagement/Cinéaste / Responsible, jeunesse et engagement	526	0.9		
Nova Scotia/Nouvelle-Écosse	Sackville--Bedford--Preston	12009	Ryan Slaney People's Party - PPC/Parti populaire - PPC	Bedford, N.S./ N.-É.	Security Analyst/Analyste en sécurité	418	0.7		
Nova Scotia/Nouvelle-Écosse	South Shore--St. Margarets	12010	Jessica Fancy-Landry Liberal/Libéral	Bridgewater, N.S./ N.-É.	Teacher/Enseignante	27831	54.9	6967	13.7
Nova Scotia/Nouvelle-Écosse	South Shore--St. Margarets	12010	Rick Perkins ** Conservative/Conservateur	Ingramport, N.S./ N.-É.	Parliamentarian/Parlementaire	20864	41.1		
Nova Scotia/Nouvelle-Écosse	South Shore--St. Margarets	12010	Mark Embrett Green Party/Parti Vert	Queensland, N.S./ N.-É.	Health Scientist/Scientifique en santé	818	1.6		
Nova Scotia/Nouvelle-Écosse	South Shore--St. Margarets	12010	Patrick Shea Boyd People's Party - PPC/Parti populaire - PPC	Sable River, N.S./ N.-É.	Consultant/Consultant	698	1.4		
Nova Scotia/Nouvelle-Écosse	South Shore--St. Margarets	12010	Hayden Henderson Independent/Indépendant(e)	Ottawa, Ont.	Researcher/Chercheur	500	1		
Nova Scotia/Nouvelle-Écosse	Sydney--Glace Bay	12011	Mike Kelloway ** Liberal/Libéral	Sydney, N.S./ N.-É.	Parliamentarian/Parlementaire	25766	54.6	7788	16.5
Nova Scotia/Nouvelle-Écosse	Sydney--Glace Bay	12011	Anna Manley Conservative/Conservateur	Sydney, N.S./ N.-É.	Lawyer/Avocate	17978	38.1		
Nova Scotia/Nouvelle-Écosse	Sydney--Glace Bay	12011	Kimberly Losier NDP-New Democratic Party/NPD-Nouveau Parti démocratique	Tower Road, N.S./ N.-É.	Supervisor of Counter Services/Superviseure des services au comptoir	1789	3.8		
Nova Scotia/Nouvelle-Écosse	Sydney--Glace Bay	12011	Joe Ward Independent/Indépendant(e)	Sydney, N.S./ N.-É.	Software Developer/Développeur de logiciels 	601	1.3		
Nova Scotia/Nouvelle-Écosse	Sydney--Glace Bay	12011	Jeffrey Evely People's Party - PPC/Parti populaire - PPC	Sydney, N.S./ N.-É.	Retired Veteran/Ancien combattant à la retraite	589	1.2		
Nova Scotia/Nouvelle-Écosse	Sydney--Glace Bay	12011	Michael Pittman Libertarian/Libertarien	Gardiner Mines, N.S./ N.-É.	Driver/Chauffeur	189	0.4		
Nova Scotia/Nouvelle-Écosse	Sydney--Glace Bay	12011	Chris Gallant Canadian Future Party/Parti Avenir Canadien	Sydney, N.S./ N.-É.	Teacher/Enseignant	169	0.4		
Nova Scotia/Nouvelle-Écosse	Sydney--Glace Bay	12011	Nik Boisvert Marxist-Leninist/Marxiste-Léniniste	Sydney, N.S./ N.-É.	Production Assistant/Adjoint à la production	85	0.2		
New Brunswick/Nouveau-Brunswick	Acadie--Bathurst	13001	Serge Cormier ** Liberal/Libéral	Caraquet, N.B./ N.-B.	Parliamentarian/Parlementaire	32556	67.5	20015	41.5
New Brunswick/Nouveau-Brunswick	Acadie--Bathurst	13001	James Brown Conservative/Conservateur	Allardville, N.B./ N.-B.	Professor/Professeur	12541	26		
New Brunswick/Nouveau-Brunswick	Acadie--Bathurst	13001	Ty Boulay NDP-New Democratic Party/NPD-Nouveau Parti démocratique	Dalhousie, N.B./ N.-B.	Social Media Management/Gestion des médias sociaux	2108	4.4		
New Brunswick/Nouveau-Brunswick	Acadie--Bathurst	13001	Randi Rachelle Raynard People's Party - PPC/Parti populaire - PPC	Beresford, N.B./ N.-B.	Sales Manager/Directrice des ventes	1043	2.2		
New Brunswick/Nouveau-Brunswick	Beauséjour	13002	Dominic LeBlanc ** Liberal/Libéral	Grande-Digue, N.B./ N.-B.	Parliamentarian/Parlementaire	36139	60.6	16277	27.3
New Brunswick/Nouveau-Brunswick	Beauséjour	13002	Nathalie Vautour Conservative/Conservateur	Dieppe, N.B./ N.-B.	Business Owner/Propriétaire d'entreprise	19862	33.3		
New Brunswick/Nouveau-Brunswick	Beauséjour	13002	Alex Gagne NDP-New Democratic Party/NPD-Nouveau Parti démocratique	Moncton, N.B./ N.-B.	Technical Support/Assistance technique	1448	2.4		
New Brunswick/Nouveau-Brunswick	Beauséjour	13002	Josh Shaddick Green Party/Parti Vert	Fredericton, N.B./ N.-B.	Regional Manager/Directeur régional	1291	2.2		
New Brunswick/Nouveau-Brunswick	Beauséjour	13002	Eddie Cornell People's Party - PPC/Parti populaire - PPC	Shediac Cape, N.B./ N.-B.	Retired/À la retraite	503	0.8		
New Brunswick/Nouveau-Brunswick	Beauséjour	13002	Donna Allen Libertarian/Libertarien	Cape Tormentine, N.B./ N.-B.	Labourer/Manœuvre	388	0.7		
New Brunswick/Nouveau-Brunswick	Fredericton--Oromocto	13003	David Myles Liberal/Libéral	Fredericton, N.B./ N.-B.	Musician/Musicien	30750	61.3	14550	29
New Brunswick/Nouveau-Brunswick	Fredericton--Oromocto	13003	Brian Macdonald Conservative/Conservateur	Fredericton, N.B./ N.-B.	Consultant/Consultant	16200	32.3		
New Brunswick/Nouveau-Brunswick	Fredericton--Oromocto	13003	Pam Allen-Leblanc Green Party/Parti Vert	Durham Bridge, N.B./ N.-B.	Self-Employed/Travailleuse indépendante	1568	3.1		
New Brunswick/Nouveau-Brunswick	Fredericton--Oromocto	13003	Nicki Lyons-MacFarlane NDP-New Democratic Party/NPD-Nouveau Parti démocratique	Fredericton, N.B./ N.-B.	Library Assistant/Assistant de bibliothèque	908	1.8		
New Brunswick/Nouveau-Brunswick	Fredericton--Oromocto	13003	Dominic Cardy Canadian Future Party/Parti Avenir Canadien	Fredericton, N.B./ N.-B.	Politician/Politicien	345	0.7		
New Brunswick/Nouveau-Brunswick	Fredericton--Oromocto	13003	Heather Michaud People's Party - PPC/Parti populaire - PPC	Haneytown, N.B./N.-B.	Registered Massage Therapist/Massothérapeute autorisée	208	0.4		
New Brunswick/Nouveau-Brunswick	Fredericton--Oromocto	13003	June Patterson Communist/Communiste	Fredericton, N.B./ N.-B.	Grocery Clerk/Commis d'épicerie	146	0.3		
New Brunswick/Nouveau-Brunswick	Fredericton--Oromocto	13003	Brandon Ellis Centrist/Centriste	Fredericton, N.B./ N.-B.	Business Development / Strategic Recruiter/Développement commercial / recruteur stratégique	44	0.1		
New Brunswick/Nouveau-Brunswick	Fundy Royal	13004	Rob Moore ** Conservative/Conservateur	Quispamsis, N.B./ N.-B.	Parliamentarian/Parlementaire	25411	53.4	6308	13.2
New Brunswick/Nouveau-Brunswick	Fundy Royal	13004	Bill Kudla Liberal/Libéral	Lower Coverdale, N.B./ N.-B.	Retired/À la retraite	19103	40.1		
New Brunswick/Nouveau-Brunswick	Fundy Royal	13004	Cindy Andrie NDP-New Democratic Party/NPD-Nouveau Parti démocratique	Quispamsis, N.B./ N.-B.	Account Manager/Chargée de comptes	1507	3.2		
New Brunswick/Nouveau-Brunswick	Fundy Royal	13004	Hans Johnsen Green Party/Parti Vert	Kanata, Ont.	Manager/Gestionnaire	961	2		
New Brunswick/Nouveau-Brunswick	Fundy Royal	13004	Alastair MacFarlane People's Party - PPC/Parti populaire - PPC	Hillsborough, N.B./ N.-B.	Machinist/Machiniste	629	1.3		
New Brunswick/Nouveau-Brunswick	Madawaska--Restigouche	13005	Guillaume Deschênes-Thériault Liberal/Libéral	Kedgwick, N.B./ N.-B.	Research Consultant/Conseiller en recherche	22720	55.2	6400	15.5
New Brunswick/Nouveau-Brunswick	Madawaska--Restigouche	13005	Michel Morin Conservative/Conservateur	St. Hilaire, N.B./ N.-B.	Retired/À la retraite	16320	39.6		
